architecture,source,ferrite,healing_mode,mixture_kind,composition_fraction,diamond_um,interlayer_um,temperature_K,electric_field_V_cm,surface_recombination_cm_s,collection_efficiency,power_density_W_cm2,current_density_A_cm2,voltage_V,lifetime_years,interface_loss_fraction,healing_benefit,carrier_survival_fraction,bulk_recombination_fraction,trap_loss_fraction,mobility_loss_fraction,thermal_loss_fraction,peak_temperature_K,mobility_cm2_Vs,thermal_conductivity_W_mK,effective_traps_cm3,damage_rate_cm3_s,healing_rate_s,defects_cm3
baseline,Ni63,Fe3O4,none,none,0.0,8.0,0.3,300.0,50000.0,1000.0,0.07835722077529063,2.6951936397591497e-10,1.6417044922561152e-09,0.164170449217403,1.3088203121607294,0.18240671762448912,0.0,0.7588811790743524,0.24111882092564763,0.2795846565410563,0.0,0.0,300.0000000000032,1200.0,1200.0,5.385126945339667e+18,130380292808.7969,0.0,5.385016945339667e+18
ferrite_transport,Ni63,Fe3O4,none,none,0.0,8.0,0.1,300.0,50000.0,1000.0,0.0002939370792056289,3.792631731634704e-15,6.158434648369938e-12,0.0006158434648062016,0.42184422891870993,0.33769988372347304,0.0,0.004225731571913305,0.9957742684280867,0.2786993723622124,0.16939153381630298,0.0,300.0000000007735,0.8,5.0,1.7142454259162678e+18,128770659564.24387,0.0,1.6341454259162678e+18
ferrite_transport,Ni63,NiFe2O4,none,none,0.0,8.0,0.1,300.0,50000.0,1000.0,1.6752483091453063e-05,1.2319421147752133e-17,3.5099032961561924e-13,3.509903295980697e-05,0.47370493504738576,0.3323196138340506,0.0,0.0002663434801088993,0.9997336565198911,0.27884117436562,0.25483473335379436,0.0,300.00000000096685,0.02,4.0,1.9249914126368822e+18,128770659564.24387,0.0,1.9048914126368822e+18
ferrite_transport,Ni63,CoFe2O4,none,none,0.0,8.0,0.1,300.0,50000.0,1000.0,1.0952734373413222e-05,5.265953697210262e-18,2.294766588887323e-13,2.2947665887725845e-05,0.3619577360985462,0.3350124813687635,0.0,0.00017987685207743187,0.9998201231479226,0.27848534548728293,0.2760582004829697,0.0,300.0000000012086,0.008,3.2,1.470885106268714e+18,128770659564.24387,0.0,1.430785106268714e+18
ferrite_transport,Ni63,Fe3O4,none,none,0.0,8.0,0.5,300.0,50000.0,1000.0,0.000291154222656424,3.721158011498876e-15,6.100129516399578e-12,0.0006100129516094571,0.422817618293447,0.33769984597256997,0.0,0.004185371382814274,0.9958146286171857,0.27863858295447397,0.16939153381630298,0.0,300.0000000008117,0.8,5.0,1.6373444646966787e+18,122710863820.04414,0.0,1.5572444646966787e+18
ferrite_transport,Ni63,NiFe2O4,none,none,0.0,8.0,0.5,300.0,50000.0,1000.0,1.644534109285768e-05,1.187183075911903e-17,3.4455523156255545e-13,3.445552315453277e-05,0.4739491938043422,0.33231960596667,0.0,0.0002614398745568458,0.9997385601254432,0.2787848207602622,0.25483473335379436,0.0,300.0000000010146,0.02,4.0,1.835349463806911e+18,122710863820.04414,0.0,1.815249463806911e+18
ferrite_transport,Ni63,CoFe2O4,none,none,0.0,8.0,0.5,300.0,50000.0,1000.0,1.0732851743770149e-05,5.056641752605935e-18,2.2486977904686897e-13,2.2486977903562548e-05,0.3624450383947629,0.3350124552581246,0.0,0.0001762480621936291,0.9998237519378064,0.2784130965357011,0.2760582004829697,0.0,300.0000000012683,0.008,3.2,1.403554042444304e+18,122710863820.04414,0.0,1.363454042444304e+18
ferrite_graphene,Ni63,Fe3O4,none,none,0.0,8.0,0.1,300.0,50000.0,1000.0,0.00022135327374495634,2.150818802696017e-15,4.637692101469823e-12,0.0004637692101237938,0.42184422891870993,0.5012459832026966,0.0,0.004225731571913305,0.9957742684280867,0.2786993723622124,0.16939153381630298,0.0,300.0000000007735,0.8,5.0,1.7142454259162678e+18,128770659564.24387,0.0,1.6341454259162678e+18
ferrite_graphene,Ni63,NiFe2O4,none,none,0.0,8.0,0.1,300.0,50000.0,1000.0,1.2617008603182309e-05,6.98786850458188e-18,2.643457679807126e-13,2.643457679674953e-05,0.47370493504738576,0.4971414607348704,0.0,0.0002663434801088993,0.9997336565198911,0.27884117436562,0.25483473335379436,0.0,300.00000000096685,0.02,4.0,1.9249914126368822e+18,128770659564.24387,0.0,1.9048914126368822e+18
ferrite_graphene,Ni63,CoFe2O4,none,none,0.0,8.0,0.1,300.0,50000.0,1000.0,8.246795702590511e-06,2.9853990994610867e-18,1.727830749700432e-13,1.7278307496140404e-05,0.3619577360985462,0.4993016333677949,0.0,0.00017987685207743187,0.9998201231479226,0.27848534548728293,0.2760582004829697,0.0,300.0000000012086,0.008,3.2,1.470885106268714e+18,128770659564.24387,0.0,1.430785106268714e+18
ferrite_graphene,Ni63,Fe3O4,none,none,0.0,8.0,0.5,300.0,50000.0,1000.0,0.00021942451398555517,2.1134998228778432e-15,4.59728161306605e-12,0.0004597281612836186,0.422817618293447,0.5008662828788251,0.0,0.004185371382814274,0.9958146286171857,0.27863858295447397,0.16939153381630298,0.0,300.0000000008117,0.8,5.0,1.6373444646966787e+18,122710863820.04414,0.0,1.5572444646966787e+18
ferrite_graphene,Ni63,NiFe2O4,none,none,0.0,8.0,0.5,300.0,50000.0,1000.0,1.239408300232863e-05,6.743117480113856e-18,2.596751332039903e-13,2.5967513319100656e-05,0.4739491938043422,0.49680057251773335,0.0,0.0002614398745568458,0.9997385601254432,0.2787848207602622,0.25483473335379436,0.0,300.0000000010146,0.02,4.0,1.835349463806911e+18,122710863820.04414,0.0,1.815249463806911e+18
ferrite_graphene,Ni63,CoFe2O4,none,none,0.0,8.0,0.5,300.0,50000.0,1000.0,8.088399196573443e-06,2.871819104887661e-18,1.6946442414357213e-13,1.6946442413509893e-05,0.3624450383947629,0.49885781980138033,0.0,0.0001762480621936291,0.9998237519378064,0.2784130965357011,0.2760582004829697,0.0,300.0000000012683,0.008,3.2,1.403554042444304e+18,122710863820.04414,0.0,1.363454042444304e+18
graded_interface,Ni63,Fe3O4,none,none,0.0,8.0,0.1,300.0,50000.0,1000.0,0.00030349623912447483,4.043324087667142e-15,6.358713775496825e-12,0.0006358713775178889,0.42184422891870993,0.3161611491654942,0.0,0.004225731571913305,0.9957742684280867,0.2786993723622124,0.16939153381630298,0.0,300.0000000007735,0.8,5.0,1.7142454259162678e+18,128770659564.24387,0.0,1.6341454259162678e+18
graded_interface,Ni63,NiFe2O4,none,none,0.0,8.0,0.1,300.0,50000.0,1000.0,1.720632805096099e-05,1.2995958718637014e-17,3.6049908071015676e-13,3.604990806921318e-05,0.47370493504738576,0.3142313473860563,0.0,0.0002663434801088993,0.9997336565198911,0.27884117436562,0.25483473335379436,0.0,300.00000000096685,0.02,4.0,1.9249914126368822e+18,128770659564.24387,0.0,1.9048914126368822e+18
graded_interface,Ni63,CoFe2O4,none,none,0.0,8.0,0.1,300.0,50000.0,1000.0,1.1279112639034127e-05,5.584467825494178e-18,2.3631478637134413e-13,2.363147863595284e-05,0.3619577360985462,0.3151966558779845,0.0,0.00017987685207743187,0.9998201231479226,0.27848534548728293,0.2760582004829697,0.0,300.0000000012086,0.008,3.2,1.470885106268714e+18,128770659564.24387,0.0,1.430785106268714e+18
graded_interface,Ni63,Fe3O4,none,none,0.0,8.0,0.5,300.0,50000.0,1000.0,0.00030062286985534906,3.9671256720143605e-15,6.298512262600365e-12,0.0006298512262285439,0.422817618293447,0.3161611355219247,0.0,0.004185371382814274,0.9958146286171857,0.27863858295447397,0.16939153381630298,0.0,300.0000000008117,0.8,5.0,1.6373444646966787e+18,122710863820.04414,0.0,1.5572444646966787e+18
graded_interface,Ni63,NiFe2O4,none,none,0.0,8.0,0.5,300.0,50000.0,1000.0,1.689086507604771e-05,1.252378811037158e-17,3.538896453839497e-13,3.5388964536625524e-05,0.4739491938043422,0.31423134455767976,0.0,0.0002614398745568458,0.9997385601254432,0.2787848207602622,0.25483473335379436,0.0,300.0000000010146,0.02,4.0,1.835349463806911e+18,122710863820.04414,0.0,1.815249463806911e+18
graded_interface,Ni63,CoFe2O4,none,none,0.0,8.0,0.5,300.0,50000.0,1000.0,1.1052677490326638e-05,5.362495258187691e-18,2.315706211602805e-13,2.31570621148702e-05,0.3624450383947629,0.315196646466087,0.0,0.0001762480621936291,0.9998237519378064,0.2784130965357011,0.2760582004829697,0.0,300.0000000012683,0.008,3.2,1.403554042444304e+18,122710863820.04414,0.0,1.363454042444304e+18
composite_layer,Ni63,Fe3O4,none,diamond_ferrite,0.0,8.0,0.1,300.0,50000.0,1000.0,0.08402788683678776,3.0994084259875973e-10,1.7605136824638904e-09,0.17605136823758646,1.3088203121607294,0.12323797181393237,0.0,0.7588811790743524,0.24111882092564763,0.2795846565410563,0.0,0.0,300.0000000000032,1200.0,1200.0,5.385126945339667e+18,130380292808.7969,0.0,5.385016945339667e+18
composite_layer,Ni63,NiFe2O4,none,diamond_ferrite,0.0,8.0,0.1,300.0,50000.0,1000.0,0.08402788683678776,3.0994084259875973e-10,1.7605136824638904e-09,0.17605136823758646,1.3088203121607294,0.12323797181393237,0.0,0.7588811790743524,0.24111882092564763,0.2795846565410563,0.0,0.0,300.0000000000032,1200.0,1200.0,5.385126945339667e+18,130380292808.7969,0.0,5.385016945339667e+18
composite_layer,Ni63,CoFe2O4,none,diamond_ferrite,0.0,8.0,0.1,300.0,50000.0,1000.0,0.08402788683678776,3.0994084259875973e-10,1.7605136824638904e-09,0.17605136823758646,1.3088203121607294,0.12323797181393237,0.0,0.7588811790743524,0.24111882092564763,0.2795846565410563,0.0,0.0,300.0000000000032,1200.0,1200.0,5.385126945339667e+18,130380292808.7969,0.0,5.385016945339667e+18
composite_layer,Ni63,Fe3O4,none,diamond_ferrite,0.5,8.0,0.1,300.0,50000.0,1000.0,0.004679471066272729,9.6122588670603e-13,9.804212802433917e-11,0.009804212801943707,0.6281779683259665,0.29859376906859136,0.0,0.05854335722170734,0.9414566427782927,0.27886001330816296,0.09854309013512516,0.0,300.00000000004934,17.041126723312637,77.45966692414831,1.9569352190158687e+18,98716507412.37482,0.0,1.9168252190158687e+18
composite_layer,Ni63,NiFe2O4,none,diamond_ferrite,0.5,8.0,0.1,300.0,50000.0,1000.0,0.0008145409023826858,2.9124449175678863e-14,1.7065886785378335e-11,0.001706588678452504,0.6938821731754686,0.2985936583536447,0.0,0.010697777293783961,0.989302222706216,0.27888361678049634,0.1412646899038708,0.0,300.00000000005514,2.6944387170614963,69.2820323027551,1.9984794605169825e+18,91266204966.15784,0.0,1.9883694605169825e+18
composite_layer,Ni63,CoFe2O4,none,diamond_ferrite,0.5,8.0,0.1,300.0,50000.0,1000.0,0.0006967160991524393,2.1308045601172703e-14,1.4597275636994083e-11,0.001459727563626422,0.5625606887769222,0.29859544725592335,0.0,0.009259945349377241,0.9907400546506228,0.27850266296869775,0.1518764234684585,0.0,300.0000000000616,1.7041126723312634,61.96773353931865,1.4879891815751148e+18,83815902519.94087,0.0,1.4678791815751148e+18
composite_layer,Ni63,Fe3O4,none,diamond_ferrite,1.0,8.0,0.1,300.0,50000.0,1000.0,0.000673720308280193,1.9924673019514544e-14,1.4115478390940485e-11,0.0014115478390234711,0.4154174488636812,0.15393660653803598,0.0,0.0075690672589388,0.9924309327410612,0.2774747271715849,0.16939153381630298,0.0,300.000000000764,0.8,4.999999999999999,8.790328682092566e+17,67052722015.9527,0.0,8.509228682092566e+17
composite_layer,Ni63,NiFe2O4,none,diamond_ferrite,1.0,8.0,0.1,300.0,50000.0,1000.0,3.851741353289285e-05,6.512476335269223e-17,8.069991533821363e-13,8.069991533417863e-05,0.47307879412936665,0.1539384488799076,0.0,0.0004821373293091291,0.9995178626706909,0.27715226853979513,0.25483473335379436,0.0,300.0000000009549,0.02,4.0,7.785910221179372e+17,52152117123.51876,0.0,7.714810221179372e+17
composite_layer,Ni63,CoFe2O4,none,diamond_ferrite,1.0,8.0,0.1,300.0,50000.0,1000.0,3.0436378143684085e-05,4.066472764484288e-17,6.376890123475244e-13,6.376890123156399e-05,0.3640925697865229,0.1539516387314801,0.0,0.00039092084905489877,0.9996090791509451,0.2748625702150344,0.2760582004829697,0.0,300.00000000119365,0.007999999999999997,3.2,4.280156914563065e+17,37251512231.08482,0.0,4.139056914563065e+17
composite_layer,Ni63,Fe3O4,none,diamond_graphene,0.0,8.0,0.1,300.0,50000.0,1000.0,0.08402788683678776,3.0994084259875973e-10,1.7605136824638904e-09,0.17605136823758646,1.3088203121607294,0.12323797181393237,0.0,0.7588811790743524,0.24111882092564763,0.2795846565410563,0.0,0.0,300.0000000000032,1200.0,1200.0,5.385126945339667e+18,130380292808.7969,0.0,5.385016945339667e+18
composite_layer,Ni63,Fe3O4,none,diamond_graphene,0.5,8.0,0.1,300.0,50000.0,1000.0,0.08635347374165901,3.273343265524508e-10,1.809238310916551e-09,0.18092383108260893,0.9132436821814263,0.2985916127134216,0.0,0.974499518308803,0.025500481691197008,0.2793203553161498,0.0,0.0,300.00000000000284,1905.2558883257661,1341.6407864998732,3.287839801630394e+18,114082756207.6973,0.0,3.287629801630394e+18
composite_layer,Ni63,Fe3O4,none,diamond_graphene,1.0,8.0,0.1,300.0,50000.0,1000.0,0.10694155139677122,5.020244693919412e-10,2.2405902557519134e-09,0.22405902556398838,0.7011217724622578,0.1539281203476377,0.0,0.9999999999997483,2.51687559682523e-13,0.2789684874922038,0.0,0.0,300.00000000000256,10000.00000000001,1500.0,2.163568432830343e+18,97785219606.59769,0.0,2.163388432830343e+18
composite_layer,Ni63,Fe3O4,none,diamond_hea,0.0,8.0,0.1,300.0,50000.0,1000.0,0.08402788683678776,3.0994084259875973e-10,1.7605136824638904e-09,0.17605136823758646,1.3088203121607294,0.12323797181393237,0.0,0.7588811790743524,0.24111882092564763,0.2795846565410563,0.0,0.0,300.0000000000032,1200.0,1200.0,5.385126945339667e+18,130380292808.7969,0.0,5.385016945339667e+18
composite_layer,Ni63,Fe3O4,none,diamond_hea,0.5,8.0,0.1,300.0,50000.0,1000.0,0.020962113789055957,1.9288660710714546e-11,4.391885780809763e-10,0.043918857805901684,0.7609373706450058,0.2985938623550307,0.0,0.2518290528902969,0.7481709471097031,0.27884012813861014,0.06126468990387083,0.0,300.000000000026,85.20563361656316,146.96938456699075,1.9232478167336305e+18,80090751296.8324,0.0,1.9206378167336305e+18
composite_layer,Ni63,Fe3O4,none,diamond_hea,1.0,8.0,0.1,300.0,50000.0,1000.0,0.022229719537566184,2.1692014819288813e-11,4.657468713837315e-10,0.046574687136044415,0.5372495162947124,0.1539471636656028,0.0,0.22859494558256377,0.7714050544174362,0.27563573005254693,0.09483473335379435,0.0,300.0000000002122,19.999999999999996,17.999999999999996,5.052588100576159e+17,29801209784.86786,0.0,5.033988100576159e+17
composite_layer,Ni63,Fe3O4,none,diamond_ferrite,0.0,8.0,0.5,300.0,50000.0,1000.0,0.08402788683678776,3.0994084259875973e-10,1.7605136824638904e-09,0.17605136823758646,1.3088203121607294,0.12323797181393237,0.0,0.7588811790743524,0.24111882092564763,0.2795846565410563,0.0,0.0,300.0000000000032,1200.0,1200.0,5.385126945339667e+18,130380292808.7969,0.0,5.385016945339667e+18
composite_layer,Ni63,NiFe2O4,none,diamond_ferrite,0.0,8.0,0.5,300.0,50000.0,1000.0,0.08402788683678776,3.0994084259875973e-10,1.7605136824638904e-09,0.17605136823758646,1.3088203121607294,0.12323797181393237,0.0,0.7588811790743524,0.24111882092564763,0.2795846565410563,0.0,0.0,300.0000000000032,1200.0,1200.0,5.385126945339667e+18,130380292808.7969,0.0,5.385016945339667e+18
composite_layer,Ni63,CoFe2O4,none,diamond_ferrite,0.0,8.0,0.5,300.0,50000.0,1000.0,0.08402788683678776,3.0994084259875973e-10,1.7605136824638904e-09,0.17605136823758646,1.3088203121607294,0.12323797181393237,0.0,0.7588811790743524,0.24111882092564763,0.2795846565410563,0.0,0.0,300.0000000000032,1200.0,1200.0,5.385126945339667e+18,130380292808.7969,0.0,5.385016945339667e+18
composite_layer,Ni63,Fe3O4,none,diamond_ferrite,0.5,8.0,0.5,300.0,50000.0,1000.0,0.004679471066272729,9.6122588670603e-13,9.804212802433917e-11,0.009804212801943707,0.6281779683259665,0.29859376906859136,0.0,0.05854335722170734,0.9414566427782927,0.27886001330816296,0.09854309013512516,0.0,300.00000000004934,17.041126723312637,77.45966692414831,1.9569352190158687e+18,98716507412.37482,0.0,1.9168252190158687e+18
composite_layer,Ni63,NiFe2O4,none,diamond_ferrite,0.5,8.0,0.5,300.0,50000.0,1000.0,0.0008145409023826858,2.9124449175678863e-14,1.7065886785378335e-11,0.001706588678452504,0.6938821731754686,0.2985936583536447,0.0,0.010697777293783961,0.989302222706216,0.27888361678049634,0.1412646899038708,0.0,300.00000000005514,2.6944387170614963,69.2820323027551,1.9984794605169825e+18,91266204966.15784,0.0,1.9883694605169825e+18
composite_layer,Ni63,CoFe2O4,none,diamond_ferrite,0.5,8.0,0.5,300.0,50000.0,1000.0,0.0006967160991524393,2.1308045601172703e-14,1.4597275636994083e-11,0.001459727563626422,0.5625606887769222,0.29859544725592335,0.0,0.009259945349377241,0.9907400546506228,0.27850266296869775,0.1518764234684585,0.0,300.0000000000616,1.7041126723312634,61.96773353931865,1.4879891815751148e+18,83815902519.94087,0.0,1.4678791815751148e+18
composite_layer,Ni63,Fe3O4,none,diamond_ferrite,1.0,8.0,0.5,300.0,50000.0,1000.0,0.000673720308280193,1.9924673019514544e-14,1.4115478390940485e-11,0.0014115478390234711,0.4154174488636812,0.15393660653803598,0.0,0.0075690672589388,0.9924309327410612,0.2774747271715849,0.16939153381630298,0.0,300.000000000764,0.8,4.999999999999999,8.790328682092566e+17,67052722015.9527,0.0,8.509228682092566e+17
composite_layer,Ni63,NiFe2O4,none,diamond_ferrite,1.0,8.0,0.5,300.0,50000.0,1000.0,3.851741353289285e-05,6.512476335269223e-17,8.069991533821363e-13,8.069991533417863e-05,0.47307879412936665,0.1539384488799076,0.0,0.0004821373293091291,0.9995178626706909,0.27715226853979513,0.25483473335379436,0.0,300.0000000009549,0.02,4.0,7.785910221179372e+17,52152117123.51876,0.0,7.714810221179372e+17
composite_layer,Ni63,CoFe2O4,none,diamond_ferrite,1.0,8.0,0.5,300.0,50000.0,1000.0,3.0436378143684085e-05,4.066472764484288e-17,6.376890123475244e-13,6.376890123156399e-05,0.3640925697865229,0.1539516387314801,0.0,0.00039092084905489877,0.9996090791509451,0.2748625702150344,0.2760582004829697,0.0,300.00000000119365,0.007999999999999997,3.2,4.280156914563065e+17,37251512231.08482,0.0,4.139056914563065e+17
composite_layer,Ni63,Fe3O4,none,diamond_graphene,0.0,8.0,0.5,300.0,50000.0,1000.0,0.08402788683678776,3.0994084259875973e-10,1.7605136824638904e-09,0.17605136823758646,1.3088203121607294,0.12323797181393237,0.0,0.7588811790743524,0.24111882092564763,0.2795846565410563,0.0,0.0,300.0000000000032,1200.0,1200.0,5.385126945339667e+18,130380292808.7969,0.0,5.385016945339667e+18
composite_layer,Ni63,Fe3O4,none,diamond_graphene,0.5,8.0,0.5,300.0,50000.0,1000.0,0.08635347374165901,3.273343265524508e-10,1.809238310916551e-09,0.18092383108260893,0.9132436821814263,0.2985916127134216,0.0,0.974499518308803,0.025500481691197008,0.2793203553161498,0.0,0.0,300.00000000000284,1905.2558883257661,1341.6407864998732,3.287839801630394e+18,114082756207.6973,0.0,3.287629801630394e+18
composite_layer,Ni63,Fe3O4,none,diamond_graphene,1.0,8.0,0.5,300.0,50000.0,1000.0,0.10694155139677122,5.020244693919412e-10,2.2405902557519134e-09,0.22405902556398838,0.7011217724622578,0.1539281203476377,0.0,0.9999999999997483,2.51687559682523e-13,0.2789684874922038,0.0,0.0,300.00000000000256,10000.00000000001,1500.0,2.163568432830343e+18,97785219606.59769,0.0,2.163388432830343e+18
composite_layer,Ni63,Fe3O4,none,diamond_hea,0.0,8.0,0.5,300.0,50000.0,1000.0,0.08402788683678776,3.0994084259875973e-10,1.7605136824638904e-09,0.17605136823758646,1.3088203121607294,0.12323797181393237,0.0,0.7588811790743524,0.24111882092564763,0.2795846565410563,0.0,0.0,300.0000000000032,1200.0,1200.0,5.385126945339667e+18,130380292808.7969,0.0,5.385016945339667e+18
composite_layer,Ni63,Fe3O4,none,diamond_hea,0.5,8.0,0.5,300.0,50000.0,1000.0,0.020962113789055957,1.9288660710714546e-11,4.391885780809763e-10,0.043918857805901684,0.7609373706450058,0.2985938623550307,0.0,0.2518290528902969,0.7481709471097031,0.27884012813861014,0.06126468990387083,0.0,300.000000000026,85.20563361656316,146.96938456699075,1.9232478167336305e+18,80090751296.8324,0.0,1.9206378167336305e+18
composite_layer,Ni63,Fe3O4,none,diamond_hea,1.0,8.0,0.5,300.0,50000.0,1000.0,0.022229719537566184,2.1692014819288813e-11,4.657468713837315e-10,0.046574687136044415,0.5372495162947124,0.1539471636656028,0.0,0.22859494558256377,0.7714050544174362,0.27563573005254693,0.09483473335379435,0.0,300.0000000002122,19.999999999999996,17.999999999999996,5.052588100576159e+17,29801209784.86786,0.0,5.033988100576159e+17
embedded_graphene_fingers,Ni63,Fe3O4,none,diamond_graphene,0.0,8.0,0.1,300.0,50000.0,1000.0,0.0840279182715956,3.0994107449635986e-10,1.760514341071543e-09,0.17605143409835172,1.3088192184648026,0.1232379718159553,0.0,0.7588814626082647,0.24111853739173528,0.27958465619449535,0.0,0.0,300.0000000000032,1200.0,1200.0,5.385122445339667e+18,130380292808.7969,0.0,5.385016945339667e+18
embedded_graphene_fingers,Ni63,Fe3O4,none,diamond_graphene,0.5,8.0,0.1,300.0,50000.0,1000.0,0.10038605874461971,4.423629372429562e-10,2.1032425853074445e-09,0.21032425852022824,0.9132299328612052,0.18461274983485831,0.0,0.9745009172118911,0.025499082788108862,0.27932034510845793,0.0,0.0,300.00000000000284,1905.2558883257661,1341.6407864998732,3.287790301630394e+18,114082756207.6973,0.0,3.287629801630394e+18
embedded_graphene_fingers,Ni63,Fe3O4,none,diamond_graphene,1.0,8.0,0.1,300.0,50000.0,1000.0,0.10946271490707947,5.259740965500538e-10,2.2934125153934964e-09,0.2293412515278826,0.7011101063723734,0.13398186628900766,0.0,0.9999999999997484,2.5157653738006047e-13,0.27896847039163014,0.0,0.0,300.00000000000256,10000.00000000001,1500.0,2.163532432830343e+18,97785219606.59769,0.0,2.163388432830343e+18
embedded_graphene_fingers,Ni63,Fe3O4,none,diamond_graphene,0.0,8.0,0.5,300.0,50000.0,1000.0,0.0840279182715956,3.0994107449635986e-10,1.760514341071543e-09,0.17605143409835172,1.3088192184648026,0.1232379718159553,0.0,0.7588814626082647,0.24111853739173528,0.27958465619449535,0.0,0.0,300.0000000000032,1200.0,1200.0,5.385122445339667e+18,130380292808.7969,0.0,5.385016945339667e+18
embedded_graphene_fingers,Ni63,Fe3O4,none,diamond_graphene,0.5,8.0,0.5,300.0,50000.0,1000.0,0.10038605874461971,4.423629372429562e-10,2.1032425853074445e-09,0.21032425852022824,0.9132299328612052,0.18461274983485831,0.0,0.9745009172118911,0.025499082788108862,0.27932034510845793,0.0,0.0,300.00000000000284,1905.2558883257661,1341.6407864998732,3.287790301630394e+18,114082756207.6973,0.0,3.287629801630394e+18
embedded_graphene_fingers,Ni63,Fe3O4,none,diamond_graphene,1.0,8.0,0.5,300.0,50000.0,1000.0,0.10946271490707947,5.259740965500538e-10,2.2934125153934964e-09,0.2293412515278826,0.7011101063723734,0.13398186628900766,0.0,0.9999999999997484,2.5157653738006047e-13,0.27896847039163014,0.0,0.0,300.00000000000256,10000.00000000001,1500.0,2.163532432830343e+18,97785219606.59769,0.0,2.163388432830343e+18
diamond_high_entropy_alloy,Ni63,Fe3O4,none,none,0.0,8.0,0.1,300.0,50000.0,1000.0,0.004617317244516371,9.358610129159396e-13,9.67399097044613e-11,0.00967399096996243,0.5365267655698374,0.3350098200999079,0.0,0.06068929993968142,0.9393107000603186,0.2789763650193238,0.09483473335379433,0.0,300.00000000021487,20.0,18.0,2.1802800434588347e+18,128770659564.24387,0.0,2.1751800434588347e+18
diamond_high_entropy_alloy,Ni63,Fe3O4,none,none,0.0,8.0,0.5,300.0,50000.0,1000.0,0.004606821195088619,9.31611065024534e-13,9.652000129875229e-11,0.00965200012939263,0.5365887416723487,0.33500981833309607,0.0,0.06054712312859378,0.9394528768714062,0.27892613260739857,0.09483473335379433,0.0,300.0000000002255,20.0,18.0,2.0779186296490068e+18,122710863820.04414,0.0,2.0728186296490068e+18
diamond_ideal_defect_sink,Ni63,Fe3O4,none,none,0.0,8.0,0.1,300.0,50000.0,1000.0,0.023074174575978608,2.3371375537416318e-11,4.834395054046048e-10,0.04834395053804328,0.22802107109388686,0.32965327111381615,0.0,0.29340848673228115,0.7065915132677189,0.27760327227657894,0.073611266224619,0.0,300.0000000000483,50.0,80.0,9.266076227643443e+17,128770659564.24387,0.0,9.264076227643443e+17
diamond_ideal_defect_sink,Ni63,Fe3O4,none,none,0.0,8.0,0.5,300.0,50000.0,1000.0,0.02305742275736429,2.3337452683663183e-11,4.830885289968088e-10,0.048308852897265435,0.22802350152927947,0.32965326917651416,0.0,0.29314788462095565,0.7068521153790444,0.2774860045929798,0.073611266224619,0.0,300.0000000000507,50.0,80.0,8.83011969928375e+17,122710863820.04414,0.0,8.82811969928375e+17
baseline,Ni63,Fe3O4,none,none,0.0,8.0,0.3,300.0,50000.0,100000.0,0.07829615284821329,2.690994262848612e-10,1.6404250251026903e-09,0.1640425025020669,1.3088203121607294,0.18304391131835696,0.0,0.7588811790743524,0.24111882092564763,0.2795846565410563,0.0,0.0,300.0000000000032,1200.0,1200.0,5.385126945339667e+18,130380292808.7969,0.0,5.385016945339667e+18
ferrite_transport,Ni63,Fe3O4,none,none,0.0,8.0,0.1,300.0,50000.0,100000.0,0.00029323007519488836,3.774408912839567e-15,6.143621825135632e-12,0.000614362182482845,0.42184422891870993,0.3392929077808218,0.0,0.004225731571913305,0.9957742684280867,0.2786993723622124,0.16939153381630298,0.0,300.0000000007735,0.8,5.0,1.7142454259162678e+18,128770659564.24387,0.0,1.6341454259162678e+18
